"date","country","ISO3","ISO2","cases","deaths","cum_cases","cum_deaths","icu_patients","hosp_patients","weekly_icu_admissions","weekly_hosp_admissions","countrycode","population","cases_daily","cases_infected","cases_active","p_infected","p_daily","p_active"
2020-08-28,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-08-29,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-08-30,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-08-31,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-01,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-02,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-03,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-04,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-05,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-06,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-07,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-08,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-09,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-10,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-11,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-12,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-13,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-14,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-15,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-16,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-17,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-18,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-19,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-20,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-21,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-22,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-23,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-24,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-25,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-26,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-27,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-28,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-29,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-09-30,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-01,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-02,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-03,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-04,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-05,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-06,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-07,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-08,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-09,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-10,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-11,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-12,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-13,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-14,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-15,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-16,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-17,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-18,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-19,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-20,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-21,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-22,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-23,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-24,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-25,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-26,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-27,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-28,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-29,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-30,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-10-31,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-01,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-02,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-03,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-04,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-05,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-06,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-07,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-08,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-09,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-10,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-11,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-12,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-13,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-14,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-15,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-16,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-17,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-18,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-19,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-20,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-21,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-22,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-23,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-24,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-25,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-26,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-27,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-28,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-29,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-11-30,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-01,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-02,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-03,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-04,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-05,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-06,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-07,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-08,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-09,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-10,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-11,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-12,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-13,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-14,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-15,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-16,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-17,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-18,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-19,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-20,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-21,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-22,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-23,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-24,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-25,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-26,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-27,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-28,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-29,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-30,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2020-12-31,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-01,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-02,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-03,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-04,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-05,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-06,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-07,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-08,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-09,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-10,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-11,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-12,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-13,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-14,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-15,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-16,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-17,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-18,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-19,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-20,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-21,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-22,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-23,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-24,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-25,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-26,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-27,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-28,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-29,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-30,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-01-31,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-01,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-02,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-03,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-04,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-05,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-06,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-07,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-08,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-09,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-10,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-11,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-12,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-13,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-14,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-15,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-16,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-17,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-18,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-19,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-20,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-21,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-22,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-23,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-24,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-25,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-26,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-27,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-02-28,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-01,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-02,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-03,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-04,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-05,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-06,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-07,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-08,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-09,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-10,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-11,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-12,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-13,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-14,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-15,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-16,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-17,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-18,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-19,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-20,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-21,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-22,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-23,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-24,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-25,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-26,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-27,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-28,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-29,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-30,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-03-31,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-04-01,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-04-02,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-04-03,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-04-04,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-04-05,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-04-06,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-04-07,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-04-08,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-04-09,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-04-10,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-04-11,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-04-12,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-04-13,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-04-14,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-04-15,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-04-16,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-04-17,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-04-18,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-04-19,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-04-20,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-04-21,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-04-22,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
2021-04-23,"Tonga","TON","TO",0,0,0,0,NA,NA,NA,NA,"TO",99532,0,0,0,0,0,0
