"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_active","p_cum_cases","p_cum_deaths","p_cases_infected","p_cases_daily","p_cases_active","p_infected","p_daily","p_active"
"2020/10/24","SB",728041,0,0,4,0,0,0,0,5.494196068628e-06,0,0,0,0,0,0,0
"2020/10/25","SB",728041,0,0,4,0,0,0,0,5.494196068628e-06,0,0,0,0,0,0,0
"2020/10/26","SB",728041,0,0,4,0,0,0,0,5.494196068628e-06,0,0,0,0,0,0,0
"2020/10/27","SB",728041,4,0,8,0,0,0,0,1.0988392137256e-05,0,0,0,0,0,0,0
"2020/10/28","SB",728041,0,0,8,0,0,0,0,1.0988392137256e-05,0,0,0,0,0,0,0
"2020/10/29","SB",728041,0,0,8,0,0,0,0,1.0988392137256e-05,0,0,0,0,0,0,0
"2020/10/30","SB",728041,0,0,8,0,0,0,0,1.0988392137256e-05,0,0,0,0,0,0,0
"2020/10/31","SB",728041,0,0,8,0,0,0,0,1.0988392137256e-05,0,0,0,0,0,0,0
"2020/11/01","SB",728041,0,0,8,0,0,0,0,1.0988392137256e-05,0,0,0,0,0,0,0
"2020/11/02","SB",728041,5,0,13,0,0,0,0,1.7856137223041e-05,0,0,0,0,0,0,0
"2020/11/03","SB",728041,0,0,13,0,0,0,0,1.7856137223041e-05,0,0,0,0,0,0,0
"2020/11/04","SB",728041,0,0,13,0,0,0,0,1.7856137223041e-05,0,0,0,0,0,0,0
"2020/11/05","SB",728041,0,0,13,0,0,0,0,1.7856137223041e-05,0,0,0,0,0,0,0
"2020/11/06","SB",728041,0,0,13,0,0,0,0,1.7856137223041e-05,0,0,0,0,0,0,0
"2020/11/07","SB",728041,0,0,13,0,0,0,0,1.7856137223041e-05,0,0,0,0,0,0,0
"2020/11/08","SB",728041,0,0,13,0,0,0,0,1.7856137223041e-05,0,0,0,0,0,0,0
"2020/11/09","SB",728041,3,0,16,0,0,0,0,2.1976784274512e-05,0,0,0,0,0,0,0
"2020/11/10","SB",728041,0,0,16,0,0,0,0,2.1976784274512e-05,0,0,0,0,0,0,0
"2020/11/11","SB",728041,0,0,16,0,0,0,0,2.1976784274512e-05,0,0,0,0,0,0,0
"2020/11/12","SB",728041,0,0,16,0,0,0,0,2.1976784274512e-05,0,0,0,0,0,0,0
"2020/11/13","SB",728041,0,0,16,0,0,0,0,2.1976784274512e-05,0,0,0,0,0,0,0
"2020/11/14","SB",728041,0,0,16,0,0,0,0,2.1976784274512e-05,0,0,0,0,0,0,0
"2020/11/15","SB",728041,0,0,16,0,0,0,0,2.1976784274512e-05,0,0,0,0,0,0,0
"2020/11/16","SB",728041,0,0,16,0,0,0,0,2.1976784274512e-05,0,0,0,0,0,0,0
"2020/11/17","SB",728041,0,0,16,0,0,0,0,2.1976784274512e-05,0,0,0,0,0,0,0
"2020/11/18","SB",728041,0,0,16,0,0,0,0,2.1976784274512e-05,0,0,0,0,0,0,0
"2020/11/19","SB",728041,0,0,16,0,0,0,0,2.1976784274512e-05,0,0,0,0,0,0,0
"2020/11/20","SB",728041,0,0,16,0,0,0,0,2.1976784274512e-05,0,0,0,0,0,0,0
"2020/11/21","SB",728041,0,0,16,0,0,0,0,2.1976784274512e-05,0,0,0,0,0,0,0
"2020/11/22","SB",728041,0,0,16,0,0,0,0,2.1976784274512e-05,0,0,0,0,0,0,0
"2020/11/23","SB",728041,0,0,16,0,0,0,0,2.1976784274512e-05,0,0,0,0,0,0,0
"2020/11/24","SB",728041,1,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/11/25","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/11/26","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/11/27","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/11/28","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/11/29","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/11/30","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/01","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/02","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/03","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/04","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/05","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/06","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/07","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/08","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/09","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/10","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/11","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/12","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/13","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/14","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/15","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/16","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/17","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/18","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/19","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/20","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/21","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/22","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/23","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/24","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/25","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/26","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/27","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/28","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/29","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/30","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2020/12/31","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/01","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/02","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/03","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/04","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/05","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/06","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/07","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/08","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/09","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/10","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/11","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/12","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/13","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/14","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/15","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/16","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/17","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/18","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/19","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/20","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/21","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/22","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/23","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/24","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/25","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/26","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/27","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/28","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/29","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/30","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/01/31","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/02/01","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/02/02","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/02/03","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/02/04","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/02/05","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/02/06","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/02/07","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/02/08","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/02/09","SB",728041,0,0,17,0,0,0,0,2.3350333291669e-05,0,0,0,0,0,0,0
"2021/02/10","SB",728041,1,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/02/11","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/02/12","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/02/13","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/02/14","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/02/15","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/02/16","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/02/17","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/02/18","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/02/19","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/02/20","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/02/21","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/02/22","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/02/23","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/02/24","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/02/25","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/02/26","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/02/27","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/02/28","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/01","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/02","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/03","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/04","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/05","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/06","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/07","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/08","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/09","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/10","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/11","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/12","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/13","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/14","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/15","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/16","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/17","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/18","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/19","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/20","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/21","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/22","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/23","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/24","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/25","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/26","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/27","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/28","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/29","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/30","SB",728041,0,0,18,0,0,0,0,2.4723882308826e-05,0,0,0,0,0,0,0
"2021/03/31","SB",728041,1,0,19,0,0,0,0,2.6097431325983e-05,0,0,0,0,0,0,0
"2021/04/01","SB",728041,0,0,19,0,0,0,0,2.6097431325983e-05,0,0,0,0,0,0,0
"2021/04/02","SB",728041,0,0,19,0,0,0,0,2.6097431325983e-05,0,0,0,0,0,0,0
"2021/04/03","SB",728041,0,0,19,0,0,0,0,2.6097431325983e-05,0,0,0,0,0,0,0
"2021/04/04","SB",728041,0,0,19,0,0,0,0,2.6097431325983e-05,0,0,0,0,0,0,0
"2021/04/05","SB",728041,0,0,19,0,0,0,0,2.6097431325983e-05,0,0,0,0,0,0,0
"2021/04/06","SB",728041,0,0,19,0,0,0,0,2.6097431325983e-05,0,0,0,0,0,0,0
"2021/04/07","SB",728041,0,0,19,0,0,0,0,2.6097431325983e-05,0,0,0,0,0,0,0
"2021/04/08","SB",728041,0,0,19,0,0,0,0,2.6097431325983e-05,0,0,0,0,0,0,0
"2021/04/09","SB",728041,0,0,19,0,0,0,0,2.6097431325983e-05,0,0,0,0,0,0,0
"2021/04/10","SB",728041,0,0,19,0,0,0,0,2.6097431325983e-05,0,0,0,0,0,0,0
"2021/04/11","SB",728041,0,0,19,0,0,0,0,2.6097431325983e-05,0,0,0,0,0,0,0
"2021/04/12","SB",728041,0,0,19,0,0,0,0,2.6097431325983e-05,0,0,0,0,0,0,0
"2021/04/13","SB",728041,0,0,19,0,0,0,0,2.6097431325983e-05,0,0,0,0,0,0,0
"2021/04/14","SB",728041,0,0,19,0,0,0,0,2.6097431325983e-05,0,0,0,0,0,0,0
"2021/04/15","SB",728041,0,0,19,0,0,0,0,2.6097431325983e-05,0,0,0,0,0,0,0
"2021/04/16","SB",728041,1,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/04/17","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/04/18","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/04/19","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/04/20","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/04/21","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/04/22","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/04/23","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/04/24","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/04/25","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/04/26","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/04/27","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/04/28","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/04/29","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/04/30","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/01","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/02","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/03","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/04","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/05","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/06","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/07","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/08","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/09","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/10","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/11","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/12","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/13","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/14","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/15","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/16","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/17","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/18","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/19","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/20","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/21","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/22","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/23","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/24","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/25","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/26","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/27","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/28","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/29","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/30","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/05/31","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/06/01","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/06/02","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/06/03","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/06/04","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/06/05","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/06/06","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/06/07","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/06/08","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/06/09","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/06/10","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/06/11","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/06/12","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/06/13","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/06/14","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/06/15","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/06/16","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/06/17","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/06/18","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
"2021/06/19","SB",728041,0,0,20,0,0,0,0,2.747098034314e-05,0,0,0,0,0,0,0
